DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
PlazaTirsodeMolina_16Zonadecargaydescarga,Plaza,Tirso de Molina,16,CENTRO,440221.41,4473790.59,SABADO_MAÑANA_12:15_13:45,"Plaza Tirso de Molina, 16"
CalleRiberadeManzanares_125InterseccionconCalleAcantilado,Calle,Ribera de Manzanares,125,MONCLOA-ARAVACA,437794.24,4475679.7,SABADO_MAÑANA_12:15_13:45,"Calle Ribera de Manzanares, 125"
CalledelPilardeZaragoza_57IterseccionconCalleJosePicon,Calle,del Pilar de Zaragoza,57,SALAMANCA,443058.63,4476339.41,SABADO_MAÑANA_12:15_13:45,"Calle del Pilar de Zaragoza, 57"
CalleArriaza_Frentealnumero10.InterseccionconCalleIlustracion,Calle,Arriaza,,MONCLOA-ARAVACA,439250.09,4474759.72,SABADO_TARDE_14:00_15:30,"Calle Arriaza, "
CalleBerlin_3,Calle,Berlín,3,SALAMANCA,443741.93,4476969.2,SABADO_TARDE_14:00_15:30,"Calle Berlín, 3"
CalleEspirituSanto_26Entrolosnumeros26y28.Zonadecargaydescarga,Calle,Espíritu Santo,26,CENTRO,440311.69,4475218.53,SABADO_TARDE_15:45_17:15,"Calle Espíritu Santo, 26"
PlazaLavapies_8Zonadecargaydescarga,Plaza,Lavapiés,8,CENTRO,440499.65,4473354.35,SABADO_TARDE_15:45_17:15,"Plaza Lavapiés, 8"
CalleLuisMoyaBlanco_27,Calle,Luis Moya Blanco,27,HORTALEZA,447765.99,4482999.86,SABADO_TARDE_15:45_17:15,"Calle Luis Moya Blanco, 27"
CalleDoctorEsquerdo_47,Calle,Doctor Esquerdo,47,SALAMANCA,443283,4474940.14,SABADO_TARDE_15:45_17:15,"Calle Doctor Esquerdo, 47"
GlorietaEmbajadores_10esquinacalleEmbajadores,Glorieta,Embajadores,10,CENTRO,440360.07,4472982.46,SABADO_TARDE_17:30_19:00,"Glorieta Embajadores, 10"
