DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
CalleTertulia_InterseccionconCalleCirculo,Calle,Tertulia,,VILLAVERDE,441157.83,4468197.15,MIÉRCOLES_TARDE_15:45_17:15,"Calle Tertulia, "
CalleVillardondiego_39-41,Calle,Villardondiego,39-41,VICALVARO,448405.2,4472827.04,MIÉRCOLES_TARDE_15:45_17:15,"Calle Villardondiego, 39-41"
CalleAviadorZorita_42,Calle,Aviador Zorita,42,TETUAN,440810.54,4478065.39,MIÉRCOLES_TARDE_17:30_19:00,"Calle Aviador Zorita, 42"
CalleEstella_21,Calle,Estella,21,FUENCARRAL,442850.98,4483154.23,MIÉRCOLES_TARDE_17:30_19:00,"Calle Estella, 21"
CalleEugeniadeMontijo_76,Calle,Eugenia de Montijo,76,CARABANCHEL,436561.38,4470107.22,MIÉRCOLES_TARDE_17:30_19:00,"Calle Eugenia de Montijo, 76"
CalleHigueras_45,Calle,Higueras,45,LATINA,436775.56,4473012.46,MIÉRCOLES_TARDE_17:30_19:00,"Calle Higueras, 45"
CalleLadelManojodeRosas_14,Calle,La del Manojo de Rosas,14,VILLAVERDE,440769.53,4467935.53,MIÉRCOLES_TARDE_17:30_19:00,"Calle La del Manojo de Rosas, 14"
CalleGolondrina_FrenteaAvenidadelTalgo_234,Calle,Golondrina,,MONCLOA-ARAVACA,433424.52,4477724.42,MIÉRCOLES_TARDE_17:30_19:00,"Calle Golondrina, "
CalleMinerva_7,Calle,Minerva,7,VICALVARO,449254.82,4472752.19,MIÉRCOLES_TARDE_17:30_19:00,"Calle Minerva, 7"
AvenidaSantoDomingodelaCalzada_27,Avenida,Santo Domingo de la Calzada,27,FUENCARRAL,443304.7,4484255.94,MIÉRCOLES_TARDE_19:15_20:45,"Avenida Santo Domingo de la Calzada, 27"
CalleAbadJuanCatalan_52-56,Calle,Abad Juan Catalán,52-56,VICALVARO,449729.34,4473042.68,MIÉRCOLES_TARDE_19:15_20:45,"Calle Abad Juan Catalán, 52-56"
CalleCaramuel_6Entrelosnumeros6y8,Calle,Caramuel,6,LATINA,438307.81,4473864.88,MIÉRCOLES_TARDE_19:15_20:45,"Calle Caramuel, 6"
CalleMutual_2InterseccionconAvenidadelaPeseta,Calle,Mutual,2,CARABANCHEL,436543.24,4468367.68,MIÉRCOLES_TARDE_19:15_20:45,"Calle Mutual, 2"
CalleLadelManojodeRosas_95,Calle,La del Manojo de Rosas,95,VILLAVERDE,440687.52,4467186.95,MIÉRCOLES_TARDE_19:15_20:45,"Calle La del Manojo de Rosas, 95"
CalleOrense_9,Calle,Orense,9,TETUAN,441017.2,4477688.81,MIÉRCOLES_TARDE_19:15_20:45,"Calle Orense, 9"
CalleVirgendelosRosales_Aceradeenfrentealnumero88,Calle,Virgen de los Rosales,,MONCLOA-ARAVACA,433943.46,4478393.51,MIÉRCOLES_TARDE_19:15_20:45,"Calle Virgen de los Rosales, "
AvenidaGranViadelSuereste_55,Avenida,Gran Vía del Suereste,55,VILLA DE VALLECAS,449631.14,4467582.44,JUEVES_MAÑANA_7:00_8:30,"Avenida Gran Vía del Suereste, 55"
CalleSantaMarta_15,Calle,Santa Marta,15,PUENTE VALLECAS,443822.93,4472671.33,JUEVES_MAÑANA_7:00_8:30,"Calle Santa Marta, 15"
PaseoMarquesdeZafra_32,Paseo,Marqués de Zafra,32,SALAMANCA,443646.54,4475219.93,JUEVES_MAÑANA_7:00_8:30,"Paseo Marqués de Zafra, 32"
AvenidaGranViadelSuereste_11,Avenida,Gran Vía del Suereste,11,VILLA DE VALLECAS,450106.99,4468329.42,JUEVES_MAÑANA_8:45_10:15,"Avenida Gran Vía del Suereste, 11"
CalleGoya_107,Calle,Goya,107,SALAMANCA,442907.8,4475125.97,JUEVES_MAÑANA_8:45_10:15,"Calle Goya, 107"
CallePergamino_Frentealnumero30,Calle,Pergamino,,VICALVARO,447068.35,4471749.02,JUEVES_MAÑANA_8:45_10:15,"Calle Pergamino, "
CaminoValderribas_99,Camino,Valderribas,99,PUENTE VALLECAS,443298.92,4472633.08,JUEVES_MAÑANA_8:45_10:15,"Camino Valderribas, 99"
AvenidaLasSuertes_Frentealnumero67,Avenida,Las Suertes,,VILLA DE VALLECAS,449614.83,4468373.88,JUEVES_MAÑANA_10:30_12:00,"Avenida Las Suertes, "
CalleCordeldePavones_46,Calle,Cordel de Pavones,46,VICALVARO,447409.97,4472099.07,JUEVES_MAÑANA_10:30_12:00,"Calle Cordel de Pavones, 46"
CalleMoscatelar_35,Calle,Moscatelar,35,HORTALEZA,445183.23,4478714.89,JUEVES_MAÑANA_10:30_12:00,"Calle Moscatelar, 35"
CalleNarvaez_44,Calle,Narváez,44,SALAMANCA,442625.56,4474589.96,JUEVES_MAÑANA_10:30_12:00,"Calle Narváez, 44"
CalleRamirezTome_38,Calle,Ramírez Tomé,38,PUENTE VALLECAS,445128.9,4471110.68,JUEVES_MAÑANA_10:30_12:00,"Calle Ramírez Tomé, 38"
AvenidadeBuenosAires_99,Avenida,de Buenos Aires,99,PUENTE VALLECAS,444592,4470080.53,JUEVES_MAÑANA_12:15_13:45,"Avenida de Buenos Aires, 99"
BulevarIndalecioPrieto_9,Bulevar,Indalecio Prieto,9,VICALVARO,447398.27,4472699.83,JUEVES_MAÑANA_12:15_13:45,"Bulevar Indalecio Prieto, 9"
CalleEmbalsedeNavacerrada_Frentealnumero50,Calle,Embalse de Navacerrada,,VILLA DE VALLECAS,448920.51,4468158.4,JUEVES_MAÑANA_12:15_13:45,"Calle Embalse de Navacerrada, "
CalleSilvano_97Frentealnumero97_interseccionconAvenidaMachupichu,Calle,Silvano,97,HORTALEZA,446183.56,4479298.34,JUEVES_MAÑANA_12:15_13:45,"Calle Silvano, 97"
CalleVelazquez_48,Calle,Velázquez,48,SALAMANCA,441987.53,4475362.83,JUEVES_MAÑANA_12:15_13:45,"Calle Velázquez, 48"
AvenidaGuadalajara_InterseccionconCalleSanRomandelValle,Avenida,Guadalajara,,SAN BLAS-CANILLEJAS,447314.62,4474482.15,JUEVES_TARDE_14:00_15:30,"Avenida Guadalajara, "
CalleMonleon_2,Calle,Monleón,2,PUENTE VALLECAS,444390.17,4471517.84,JUEVES_TARDE_14:00_15:30,"Calle Monleón, 2"
CalleSantaHortensia_2InterseccionconLopezdeHoyos,Calle,Santa Hortensia,2,CHAMARTIN,443127.33,4477472.14,JUEVES_TARDE_14:00_15:30,"Calle Santa Hortensia, 2"
CalleSierraVieja_1,Calle,Sierra Vieja,1,VILLA DE VALLECAS,446556.28,4469822.16,JUEVES_TARDE_14:00_15:30,"Calle Sierra Vieja, 1"
CalleVelazquez_89,Calle,Velázquez,89,SALAMANCA,442019.84,4476160.84,JUEVES_TARDE_14:00_15:30,"Calle Velázquez, 89"
CalleAlbericia_InterseccionconCalleArcosdelJalon,Calle,Albericia,,SAN BLAS-CANILLEJAS,447785.8,4475053.34,JUEVES_TARDE_15:45_17:15,"Calle Albericia, "
CalleClaradelRey_21,Calle,Clara del Rey,21,CHAMARTIN,443000.35,4476931.78,JUEVES_TARDE_15:45_17:15,"Calle Clara del Rey, 21"
CalleFranciscoSilvela_InterseccionconCalleFlorestonAguilarjuntoalParqueEvaDuarte,Calle,Francisco Silvela,,SALAMANCA,443134.13,4475731.17,JUEVES_TARDE_15:45_17:15,"Calle Francisco Silvela, "
CalleArroyodelOlivar_InterseccionconCalleMartinezdelaRiva_18,Calle,Arroyo del Olivar,,PUENTE VALLECAS,443463.25,4471710.98,JUEVES_TARDE_15:45_17:15,"Calle Arroyo del Olivar, "
CallePlayadeZarauz_1,Calle,Playa de Zarauz,1,BARAJAS,449780.61,4480454.48,JUEVES_TARDE_15:45_17:15,"Calle Playa de Zarauz, 1"
PaseoFedericoGarciaLorca_3,Paseo,Federico García Lorca,3,VILLA DE VALLECAS,447286.42,4470053.98,JUEVES_TARDE_15:45_17:15,"Paseo Federico García Lorca, 3"
AvenidaDoctorGarciaTapia_135,Avenida,Doctor García Tapia,135,MORATALAZ,445941.63,4473366.16,JUEVES_TARDE_17:30_19:00,"Avenida Doctor García Tapia, 135"
AvenidaGavia_14,Avenida,Gavia,14,VILLA DE VALLECAS,448175.45,4469566.88,JUEVES_TARDE_17:30_19:00,"Avenida Gavia, 14"
AvenidaNiza_25Eneltramodeviaentrelosnumeros13y25,Avenida,Niza,25,SAN BLAS-CANILLEJAS,448518.74,4475431.44,JUEVES_TARDE_17:30_19:00,"Avenida Niza, 25"
CalleAlcala_237JuntoaPlazadeTorosdelasVentas,Calle,Alcalá,237,SALAMANCA,443683.25,4475825.97,JUEVES_TARDE_17:30_19:00,"Calle Alcalá, 237"
CalleBahiadeCadiz_32,Calle,Bahia de Cádiz,32,BARAJAS,449612.88,4479406.74,JUEVES_TARDE_17:30_19:00,"Calle Bahia de Cádiz, 32"
CalleJavierdeMiguel_40,Calle,Javier de Miguel,40,PUENTE VALLECAS,443928.66,4470983.48,JUEVES_TARDE_17:30_19:00,"Calle Javier de Miguel, 40"
CallePrincipedeVergara_142,Calle,Príncipe de Vergara,142,CHAMARTIN,442484.79,4477330.64,JUEVES_TARDE_17:30_19:00,"Calle Príncipe de Vergara, 142"
CalleBabilonia_33,Calle,Babilonia,33,BARAJAS,450420.08,4479808.83,JUEVES_TARDE_19:15_20:45,"Calle Babilonia, 33"
CalleBrescia_2InterseccionconCalleBiarritz,Calle,Brescia,2,SALAMANCA,443651.03,4476418,JUEVES_TARDE_19:15_20:45,"Calle Brescia, 2"
CalleSantoDomingodeSilos_7InterseccionAvConchaEspina,Calle,Santo Domingo de Silos,7,CHAMARTIN,441753.11,4478129.02,JUEVES_TARDE_19:15_20:45,"Calle Santo Domingo de Silos, 7"
CalleFuenteCarrantona_41,Calle,Fuente Carrantona,41,MORATALAZ,446443.54,4473270.54,JUEVES_TARDE_19:15_20:45,"Calle Fuente Carrantona, 41"
CallePuentelarra_13,Calle,Puentelarrá,13,VILLA DE VALLECAS,448281.15,4470386.89,JUEVES_TARDE_19:15_20:45,"Calle Puentelarrá, 13"
CalleRuidera_26,Calle,Ruidera,26,PUENTE VALLECAS,442665.31,4470184.77,JUEVES_TARDE_19:15_20:45,"Calle Ruidera, 26"
AvenidaFerminaSevillano_26,Avenida,Fermina Sevillano,26,SAN BLAS-CANILLEJAS,451740.97,4477286.9,VIERNES_MAÑANA_7:00_8:30,"Avenida Fermina Sevillano, 26"
CalleEugeniadeMontijo_99,Calle,Eugenia de Montijo,99,CARABANCHEL,436250.91,4469582.53,VIERNES_MAÑANA_7:00_8:30,"Calle Eugenia de Montijo, 99"
CalleGranAvenida_31,Calle,Gran Avenida,31,USERA,440045.72,4469024.45,VIERNES_MAÑANA_7:00_8:30,"Calle Gran Avenida, 31"
CalleHaciendadePavones_220,Calle,Hacienda de Pavones,220,MORATALAZ,445687.07,4472498.22,VIERNES_MAÑANA_7:00_8:30,"Calle Hacienda de Pavones, 220"
CalleRafaelFinat_103,Calle,Rafael Finat,103,LATINA,434421.94,4469758.87,VIERNES_MAÑANA_7:00_8:30,"Calle Rafael Finat, 103"
CalleValdebernardo_45,Calle,Valdebernardo,45,MORATALAZ,446384.26,4472738.44,VIERNES_MAÑANA_7:00_8:30,"Calle Valdebernardo, 45"
AvenidaSegunda_Frentealnumero5aproximadamente,Avenida,Segunda,,SAN BLAS-CANILLEJAS,449598.47,4477580.64,VIERNES_MAÑANA_8:45_10:15,"Avenida Segunda, "
CalleGeneralMillanAstray_20,Calle,General Millan Astray,20,LATINA,434871.22,4470041.9,VIERNES_MAÑANA_8:45_10:15,"Calle General Millan Astray, 20"
CalleHaciendadePavones_72,Calle,Hacienda de Pavones,72,MORATALAZ,445169.27,4472738.84,VIERNES_MAÑANA_8:45_10:15,"Calle Hacienda de Pavones, 72"
CalleParquedelaPaloma_32,Calle,Parque de la Paloma,32,USERA,439336.43,4470025.17,VIERNES_MAÑANA_8:45_10:15,"Calle Parque de la Paloma, 32"
CalleEncomiendadePalacios_360,Calle,Encomienda de Palacios,360,MORATALAZ,446155.78,4472002.79,VIERNES_MAÑANA_8:45_10:15,"Calle Encomienda de Palacios, 360"
AvenidaMonasteriodeSilos_Aceradelospares_frentealnumero23,Avenida,Monasterio de Silos,,FUENCARRAL,440150.58,4483879.66,VIERNES_MAÑANA_10:30_12:00,"Avenida Monasterio de Silos, "
AvenidaPlazadeToros_3,Avenida,Plaza de Toros,3,CARABANCHEL,437399.58,4470811.58,VIERNES_MAÑANA_10:30_12:00,"Avenida Plaza de Toros, 3"
CalleAntonioLopez_246-248,Calle,Antonio López,246-248,USERA,440926.94,4470378.91,VIERNES_MAÑANA_10:30_12:00,"Calle Antonio López, 246-248"
CalleArturoSoria_320,Calle,Arturo Soria,320,CIUDAD LINEAL,443357.17,4481056.31,VIERNES_MAÑANA_10:30_12:00,"Calle Arturo Soria, 320"
CalleCaminodeVinateros_108,Calle,Camino de Vinateros,108,MORATALAZ,445107.48,4473267.68,VIERNES_MAÑANA_10:30_12:00,"Calle Camino de Vinateros, 108"
CalleAmparoUsera_47,Calle,Amparo Usera,47,USERA,440008.82,4470937.71,VIERNES_MAÑANA_12:15_13:45,"Calle Amparo Usera, 47"
AvenidaOporto_96,Avenida,Oporto,96,CARABANCHEL,438078.26,4470987.84,VIERNES_MAÑANA_12:15_13:45,"Avenida Oporto, 96"
CalleTorrelaguna_66,Calle,Torrelaguna,66,CIUDAD LINEAL,444284.28,4477775.95,VIERNES_MAÑANA_12:15_13:45,"Calle Torrelaguna, 66"
CalleCaminodeVinateros_63,Calle,Camino de Vinateros,63,MORATALAZ,444685.42,4473515.98,VIERNES_MAÑANA_12:15_13:45,"Calle Camino de Vinateros, 63"
CalleAntonioLopez_9,Calle,Antonio López,9,CARABANCHEL,439397.79,4472075.3,VIERNES_TARDE_14:00_15:30,"Calle Antonio López, 9"
CalleBerrocal_72,Calle,Berrocal,72,VILLAVERDE,442647.27,4465842.89,VIERNES_TARDE_14:00_15:30,"Calle Berrocal, 72"
CalleCaminodelosVinateros_10-12,Calle,Camino de los Vinateros,10-12,MORATALAZ,443962.2,4473544.21,VIERNES_TARDE_14:00_15:30,"Calle Camino de los Vinateros, 10-12"
CalleDuquesadeParcent_96,Calle,Duquesa de Parcent,96,LATINA,436326.92,4471971.48,VIERNES_TARDE_14:00_15:30,"Calle Duquesa de Parcent, 96"
CalleJosedelHierro_37InterseccionconCalleRosaliaTrujillo,Calle,José del Hierro,37,CIUDAD LINEAL,445310.31,4476784.75,VIERNES_TARDE_14:00_15:30,"Calle José del Hierro, 37"
CalleLeopoldoAlasClarin_Aceradelospares_frentealnumero41,Calle,Leopoldo Alas Clarín,,FUENCARRAL,437856.75,4481403.31,VIERNES_TARDE_14:00_15:30,"Calle Leopoldo Alas Clarín, "
AvenidaMoratalaz_39,Avenida,Moratalaz,39,MORATALAZ,444112.81,4473200.76,VIERNES_TARDE_15:45_17:15,"Avenida Moratalaz, 39"
CalleCarmendeBurgos_4,Calle,Carmen de Burgos,4,VILLAVERDE,441841.64,4467654.27,VIERNES_TARDE_15:45_17:15,"Calle Carmen de Burgos, 4"
CalleEstafeta_20Frentealnumero7,Calle,Estafeta,20,USERA,441213.67,4469426.02,VIERNES_TARDE_17:30_19:00,"Calle Estafeta, 20"
CalleMariaTeresaSaenzdeHeredia_44,Calle,María Teresa Sáenz de Heredia,44,CIUDAD LINEAL,444790.08,4475198.42,VIERNES_TARDE_17:30_19:00,"Calle María Teresa Sáenz de Heredia, 44"
CalleMonfortedeLemos_38,Calle,Monforte de Lemos,38,FUENCARRAL,439866.37,4481101.21,VIERNES_TARDE_17:30_19:00,"Calle Monforte de Lemos, 38"
CalleSantaPetronila_InterseccionconCalleJosedelPino,Calle,Santa Petronila,,VILLAVERDE,441210.83,4466913.96,VIERNES_TARDE_17:30_19:00,"Calle Santa Petronila, "
AvenidaElFerrol_6,Avenida,El Ferrol,6,FUENCARRAL,440330.32,4480667.53,VIERNES_TARDE_19:15_20:45,"Avenida El Ferrol, 6"
CalleConiferas_10,Calle,Coníferas,10,USERA,441027.29,4468717.44,VIERNES_TARDE_19:15_20:45,"Calle Coníferas, 10"
CalleLagunaRodrigo_7,Calle,Laguna Rodrigo,7,VILLAVERDE,440014.09,4467024.04,VIERNES_TARDE_19:15_20:45,"Calle Laguna Rodrigo, 7"
CalleTacona_1InterseccionconArroyoFontarron,Calle,Tacona,1,MORATALAZ,445589.72,4471957.48,VIERNES_TARDE_19:15_20:45,"Calle Tacona, 1"
AvenidaInstitucionLibredeEnsenianza_158,Avenida,Institución Libre de Enseñanza,158,CIUDAD LINEAL,446637.11,4475121.56,VIERNES_TARDE_19:15_20:45,"Avenida Institución Libre de Enseñanza, 158"
PaseoErmitadelSanto_39,Paseo,Ermita del Santo,39,LATINA,438534.79,4473134.22,VIERNES_TARDE_19:15_20:45,"Paseo Ermita del Santo, 39"
AvenidaOsaMayor_23,Avenida,Osa Mayor,23,MONCLOA-ARAVACA,433960.1,4479063.34,SABADO_MAÑANA_7:00_8:30,"Avenida Osa Mayor, 23"
CalleTampico_79,Calle,Tampico,79,SAN BLAS-CANILLEJAS,446094.48,4477316.37,SABADO_MAÑANA_7:00_8:30,"Calle Tampico, 79"
PlazaChamberi_4,Plaza,Chamberí,4,CHAMBERI,440871.32,4476057.92,SABADO_MAÑANA_7:00_8:30,"Plaza Chamberí, 4"
AvenidaPrunos_44InterseccionconAvenidaArroyodelSanto,Avenida,Prunos,44,HORTALEZA,447250.82,4478174.33,SABADO_MAÑANA_8:45_10:15,"Avenida Prunos, 44"
CalleAntonioMachado_12IDMCiudaddelosPoetas,Calle,Antonio Machado,12,MONCLOA-ARAVACA,439027.38,4479726.98,SABADO_MAÑANA_8:45_10:15,"Calle Antonio Machado, 12"
CalleBoltania_20,Calle,Boltaña,20,SAN BLAS-CANILLEJAS,447977.19,4477307.56,SABADO_MAÑANA_8:45_10:15,"Calle Boltaña, 20"
CalleSantaEngracia_126,Calle,Santa Engracia,126,CHAMBERI,440516.66,4477005.22,SABADO_MAÑANA_8:45_10:15,"Calle Santa Engracia, 126"
PlazaLegazpi_5InterseccionconPaseodelMolino,Plaza,Legazpi,5,ARGANZUELA,441030.6,4471362.47,SABADO_MAÑANA_8:45_10:15,"Plaza Legazpi, 5"
CalleBravoMurillo_41,Calle,Bravo Murillo,41,CHAMBERI,440186.51,4476585.12,SABADO_MAÑANA_10:30_12:00,"Calle Bravo Murillo, 41"
CalleCuevasdelaAlmanzora_18,Calle,Cuevas de la Almanzora,18,HORTALEZA,444128.94,4480874.57,SABADO_MAÑANA_10:30_12:00,"Calle Cuevas de la Almanzora, 18"
PaseoSantaMariadelaCabeza_64,Paseo,Santa María de la Cabeza,64,ARGANZUELA,440610.31,4472447.21,SABADO_MAÑANA_10:30_12:00,"Paseo Santa María de la Cabeza, 64"
PlazaMayor_29-30SalidaCalleCiudadRodrigo,Plaza,Mayor,29-30,CENTRO,440026.35,4474142.61,SABADO_MAÑANA_10:30_12:00,"Plaza Mayor, 29-30"
AvenidaFranciscoPiyMargall_72,Avenida,Francisco Pi y Margall,72,HORTALEZA,444145.15,4482435.53,SABADO_MAÑANA_12:15_13:45,"Avenida Francisco Pi y Margall, 72"
AvenidaSanDiego_111,Avenida,San Diego,111,PUENTE VALLECAS,443629.46,4470440.95,SABADO_MAÑANA_12:15_13:45,"Avenida San Diego, 111"
PaseoDelicias_24,Paseo,Delicias,24,ARGANZUELA,441144.57,4472990.16,SABADO_MAÑANA_12:15_13:45,"Paseo Delicias, 24"
PaseoSanFranciscodeSales_36,Paseo,San Francisco de Sales,36,CHAMBERI,439515.93,4477071.54,SABADO_MAÑANA_12:15_13:45,"Paseo San Francisco de Sales, 36"
CalleBravoMurillo_92,Calle,Bravo Murillo,92,CHAMBERI,440317.12,4477482.65,SABADO_TARDE_14:00_15:30,"Calle Bravo Murillo, 92"
CalleLaMancha_2,Calle,La Mancha,2,PUENTE VALLECAS,443184.26,4470315.25,SABADO_TARDE_14:00_15:30,"Calle La Mancha, 2"
AvenidaNicetoAlcalaZamora_78InterseccionconVicenteBlascoIbaniez,Avenida,Niceto Alcalá Zamora,78,HORTALEZA,444716.97,4483076.55,SABADO_TARDE_14:00_15:30,"Avenida Niceto Alcalá Zamora, 78"
PaseoDelicias_122,Paseo,Delicias,122,ARGANZUELA,441031.38,4471817.71,SABADO_TARDE_14:00_15:30,"Paseo Delicias, 122"
PlazaCebada_5-7,Plaza,Cebada,5-7,CENTRO,439790.02,4473664.08,SABADO_TARDE_14:00_15:30,"Plaza Cebada, 5-7"
AvenidaPabloNeruda_89,Avenida,Pablo Neruda,89,PUENTE VALLECAS,443966.93,4470271.88,SABADO_TARDE_15:45_17:15,"Avenida Pablo Neruda, 89"
CalleBravoMurillo_8,Calle,Bravo Murillo,8,CHAMBERI,440268.33,4476210.98,SABADO_TARDE_15:45_17:15,"Calle Bravo Murillo, 8"
PaseoChopera_12,Paseo,Chopera,12,ARGANZUELA,440756.12,4471631.64,SABADO_TARDE_15:45_17:15,"Paseo Chopera, 12"
CalleArapiles_21InterseccionconCalleVallehermoso,Calle,Arapiles,21,CHAMBERI,439904.28,4476035.91,SABADO_TARDE_17:30_19:00,"Calle Arapiles, 21"
AvenidaRafaelAlberti_34,Avenida,Rafael Alberti,34,PUENTE VALLECAS,445452.36,4470656.43,SABADO_TARDE_17:30_19:00,"Avenida Rafael Alberti, 34"
CaminoViejodeBurgos_24,Camino,Viejo de Burgos,24,HORTALEZA,446488.7,4481435.19,SABADO_TARDE_17:30_19:00,"Camino Viejo de Burgos, 24"
PaseoJuanAntonioVallejo-NajeraBotas_InterseccionconPlazaOrtegayMunilla_detrasdelaentradaalaestaciondeCercaniasdePiramides,Paseo,Juan Antonio Vallejo-Nájera Botas,,ARGANZUELA,439635.23,4472715.18,SABADO_TARDE_17:30_19:00,"Paseo Juan Antonio Vallejo-Nájera Botas, "
AvenidaVirgendelCarmen_Aceraimpares_frentealnumero84,Avenida,Virgen del Carmen,,HORTALEZA,445107.14,4480737.23,SABADO_TARDE_19:15_20:45,"Avenida Virgen del Carmen, "
CalleFernandezdelosRios_62,Calle,Fernández de los Ríos,62,CHAMBERI,439625.55,4476321.63,SABADO_TARDE_19:15_20:45,"Calle Fernández de los Ríos, 62"
PlazaFranciscoMorano_3EnlarotondaentrelassalidasdePaseoImperialyPaseodelosPontones,Plaza,Francisco Morano,3,ARGANZUELA,439221.37,4472922.62,SABADO_TARDE_19:15_20:45,"Plaza Francisco Morano, 3"
CalleFedericoMompou_4EdificioTelecinco,Calle,Federico Mompou,4,FUENCARRAL,442484.39,4484676.35,MARTES_MAÑANA_7:00_8:30,"Calle Federico Mompou, 4"
RondaRondadelaComunicacion_2EdificioTelefonica,Ronda,Ronda de la Comunicación,2,FUENCARRAL,443723.05,4485009.33,MARTES_MAÑANA_8:45_10:15,"Ronda Ronda de la Comunicación, 2"
CalleAbetal_3-5EdificioBBVA,Calle,Abetal,3-5,FUENCARRAL,443856.16,4483545.97,MARTES_MAÑANA_10:30_12:00,"Calle Abetal, 3-5"
AvenidaAvda.MonfortedeLemos_1CuatroTorres,Avenida,Avda. Monforte de Lemos,1,FUENCARRAL,441706.39,4480710.18,MARTES_MAÑANA_12:15_13:45,"Avenida Avda. Monforte de Lemos, 1"
calleMauricioLegendre_5,calle,Mauricio Legendre,5,CHAMARTIN,441764.3,4480066.56,MARTES_TARDE_14:00_15:30,"calle Mauricio Legendre, 5"
calleOrense_2Azca,calle,Orense,2,TETUAN,441035.06,4477589.81,MARTES_TARDE_15:45_17:15,"calle Orense, 2"
calleAgustindeBetancourt_1Ministerio,calle,Agustín de Betancourt,1,CHAMBERI,441053.61,4477057,MARTES_TARDE_17:30_19:00,"calle Agustín de Betancourt, 1"
calleMontalban_7-9EdificioAyuntamientodeMadrid,calle,Montalbán,7-9,RETIRO,441449.91,4474405.04,MARTES_MAÑANA_8:45_10:15,"calle Montalbán, 7-9"
calleMendezAlvaro_1PuertadeAtocha,calle,Méndez Álvaro,1,ARGANZUELA,441255.97,4473136.22,MARTES_MAÑANA_10:30_12:00,"calle Méndez Álvaro, 1"
calleCerrodelaPlata_3EMT,calle,Cerro de la Plata,3,RETIRO,442752.58,4472399.1,MARTES_MAÑANA_12:15_13:45,"calle Cerro de la Plata, 3"
calleMendezAlvaro_44edficioRepsol,calle,Méndez Álvaro,44,ARGANZUELA,441966.39,4472215.35,JUEVES_MAÑANA_7:00_8:30,"calle Méndez Álvaro, 44"
calleBustamante_16EdificioAyuntamientodeMadrid,calle,Bustamante,16,ARGANZUELA,441594.58,4472433.27,JUEVES_MAÑANA_8:45_10:15,"calle Bustamante, 16"
calleAlcaldeSainzdeBaranda_92frente.(FachadaParqueFuentedelBerro).,calle,Alcalde Sainz de Baranda,92,SALAMANCA,443788.85,4474709.95,JUEVES_MAÑANA_10:30_12:00,"calle Alcalde Sainz de Baranda, 92"
calleAlbarracin__35EdificioAyuntamientodeMadrid,calle,"Albarracín,",35,SAN BLAS-CANILLEJAS,446527.99,4475878.75,JUEVES_MAÑANA_12:15_13:45,"calle Albarracín,, 35"
calleRiberadelSena_21esquinaconEstrasburgoEdificioAyuntamientodeMadrid,calle,Ribera del Sena,21,BARAJAS,447632.56,4479217.25,JUEVES_TARDE_14:00_15:30,"calle Ribera del Sena, 21"
calleAbelias_1esquinaAvda.Arces,calle,Abelias,1,HORTALEZA,447020.91,4478148.67,JUEVES_TARDE_15:45_17:15,"calle Abelias, 1"
PaseoAlamedadeOsuna__50,Paseo,"Alameda de Osuna,",50,BARAJAS,449316.5,4478388.17,JUEVES_TARDE_17:30_19:00,"Paseo Alameda de Osuna,, 50"
AvenidaLogronio_160-162EntradaResidencialElCapricho,Avenida,Logroño,160-162,BARAJAS,450664.16,4480634.97,JUEVES_TARDE_19:15_20:45,"Avenida Logroño, 160-162"
PaseoFlorida_12(farola13),Paseo,Florida,12,MONCLOA-ARAVACA,438687.94,4474941.28,SÁBADO_TARDE_19:15_20:45,"Paseo Florida, 12"
AvenidaPrincipal_4-6AccesoPabellonCubodelaPipa-CasadeCampo,Avenida,Principal,4-6,MONCLOA-ARAVACA,437292.7,4473802.24,LUNES_TARDE_12:15_13:45,"Avenida Principal, 4-6"
AvenidaBlasdeLezo_22,Avenida,Blas de Lezo,22,VICALVARO,453115.63,4473036.7,VIERNES_MAÑANA_12:15_13:30,"Avenida Blas de Lezo, 22"
