Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
141419,SITUADO-APARCABICICLETAS-PLAZA-DE-TOROS-DE-LAS-VENTAS,141419,4,Salamanca,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Alcalá Street,237"
142259,SITUADO-APARCABICICLETAS-BIBLIOTECA-PUBLICA-MUNICIPAL-BUENAVISTA,142259,4,Salamanca,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Avenida de los Toreros, Madrid,5"
142279,SITUADO-APARCABICICLETAS-EN-LA-ESTACION-DE-METRO-DIEGO-DE-LEON,142279,4,Salamanca,45,Lista,https://wikidata.org/entity/Q4779,OPERATIVO,"Calle de Juan Bravo, Madrid,62"
143432,SITUADO-APARCABICICLETAS-MUSEO-DE-ARTE-PUBLICO,143432,4,Salamanca,46,Castellana,https://wikidata.org/entity/Q4781,OPERATIVO,"Paseo de la Castellana,40"
145954,SITUADO-APARCABICICLETAS-C/V-CALLE-DE-MEJICO,145954,4,Salamanca,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"Francisco Silvela Street,66"
147565,SITUADO-APARCABICICLETAS-C.P.-GUINDALERA,147565,4,Salamanca,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"AVENIDA CAMILO JOSE CELA,6,6"
148185,SITUADO-APARCABICICLETAS-AGENCIA-ESTATAL-DE-ADMINISTRACION-TRIBUTARIA,148185,4,Salamanca,46,Castellana,https://wikidata.org/entity/Q4781,OPERATIVO,"Núñez de Balboa Street,125"
148326,SITUADO-APARCABICICLETAS-EMBAJADA-DE-ALBANIA,148326,4,Salamanca,45,Lista,https://wikidata.org/entity/Q4779,OPERATIVO,"María de Molina,62"
148778,SITUADO-APARCABICICLETAS-CENTRO-MUNICIPAL-MOSCARDO,148778,4,Salamanca,44,La Guindalera,https://wikidata.org/entity/Q3814559,OPERATIVO,"CALLE PILAR DE ZARAGOZA,93,93"
149445,SITUADO-APARCABICICLETAS-C/PADRE-FRANCISCO-PALAU-Y-QUER,149445,5,Chamartín,56,Castilla,https://wikidata.org/entity/Q3813735,OPERATIVO,"Paseo de la Castellana,272"
