StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,Capacity,CoordinatesID,Longitude,Latitude
241,241,"443363,99","4476559,86",241,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"AVENIDA DE CAMILO JOSE CELA,23,23",24,241,-36.677.796,404.377.568
242,242,"443778,78","4476746,49",242,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"avenida de Bruselas,56",24,242,-36.629.058,404.394.662
243,243,"443165,91","4476273,63",243,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"Calle de Cartagena, Madrid,38",24,243,-36.700.894,404.351.648
244,244,"439144,97","4476825,45",244,7,Chamberí,76,Vallehermoso,https://wikidata.org/entityQ6122685,"calle de Isaac Peral,44",24,244,-37.175.468,404.398.513
245,245,"439767,36","4476444,58",245,7,Chamberí,72,Arapiles,https://wikidata.org/entityQ10856744,"calle de Galileo,63",24,245,-37.101.726,404.364.656
246,246,"440693,2","4476388,4",246,7,Chamberí,73,Trafalgar,https://wikidata.org/entityQ10384027,"Calle de Santa Engracia, Madrid,87",24,246,-3.699.252,40.436.026
247,247,"441238,82","4476643,99",247,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"calle de Zurbano,90",24,247,-3.692.843,404.383.672
248,248,"441694,11","4480631,92",248,8,Fuencarral-El Pardo,85,La Paz,https://wikidata.org/entityQ5869740,"Sinesio Delgado Street,2",24,248,-36.878.414,404.743.243
249,249,"441914,27","4481195,42",249,5,Chamartín,56,Castilla,https://wikidata.org/entityQ3813735,"Paseo de la Castellana,298",24,249,-36.852.959,404.794.159
250,250,"441812,82","4476911,24",250,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Serrano Street,113B",24,250,-36.861,404.408.151
251,251,"443447,95","4477272,58",251,5,Chamartín,52,Prosperidad,https://wikidata.org/entityQ4776,"Calle de Santa Hortensia, Madrid,31",24,251,-36.668.532,40.444.183
252,252,"442025,04","4480322,99",252,5,Chamartín,56,Castilla,https://wikidata.org/entityQ3813735,"CALLE DE RODRIGUEZ JAEN,,",24,252,-36.839.094,404.715.645
253,253,"441626,91","4478554,58",253,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entityQ3814573,"Calle del Doctor Fleming, Madrid,7",24,253,-3.688.443,40.455.606
254,254,"442639,53","4479150,36",254,5,Chamartín,55,Nueva España,https://wikidata.org/entityQ10338128,"Avenida de Pío XII,3",24,254,-36.765.549,404.610.436
255,255,"441910,45","4479454,04",255,5,Chamartín,55,Nueva España,https://wikidata.org/entityQ10338128,"Calle del General López Pozas, Madrid,2",24,255,-36.851.815,404.637.286
256,256,"439465,58","4477545,36",256,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"Calle de Beatriz de Bobadilla, Madrid,2",24,256,-37.138.353,404.463.599
257,257,"438063,25","4476718,06",257,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"AVENIDA DE JUAN DE HERRERA,1,1",24,257,-373.029,40.438.804
258,258,"438326,14","4477849,84",258,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"Avenida Complutense, Madrid,14",24,258,-37.273.004,40.449.019
259,259,"438344,78","4477338,89",259,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"PLAZA DE RAMON Y CAJAL,,",24,259,-3.727.031,404.444.176
260,260,"438328,53","4477762,41",260,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"CALLE DE JOSE ANTONIO NOVAIS,,",24,260,-37.272.637,404.482.316
261,261,"438161,53","4478015,95",261,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entityQ3319235,"Avenida Complutense, Madrid,7",24,261,-37.292.576,404.505.032
