StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,Capacity,CoordinatesID,Longitude,Latitude
100,100,"442835,81","4475123,85",100,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Goya,99",24,100,-36.738.777,404.247.843
101,101,"443212,16","4474936,49",101,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Jorge Juan,131",24,101,-36.694.246,404.231.223
102,102,"441967,18","4474727,67",102,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Alcalá Street,95",24,102,-36.840.806,404.211.552
103,103,"441766,91","4475752,49",103,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"Calle de José Ortega y Gasset, Madrid,4",24,103,-36.865.351,404.303.733
104,104,"441505,58","4475354,07",104,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Paseo de la Castellana,4",21,104,-36.895.792,404.267.658
105,105,"441684,37","4475386,27",105,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,46",24,105,-36.874.745,404.270.684
106a,106 a,"441647,49","4475141,87",106 a,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,32",18,106 a,-36.878.868,404.248.642
106b,106 b,"441649,86","4475157,87",106 b,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,34",18,106 b,-36.878.604,404.250.085
107,107,"441599,07","4474779,37",107,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,8",24,107,-36.884.243,404.215.952
108,108,"443111,6","4475416,83",108,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"CALLE DE LAS MARTIRES CONCEPCIONISTAS,2,2",27,108,-3.670.653,404.274.425
109,109,"442191,64","4475721,98",109,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"Calle de José Ortega y Gasset, Madrid,32",24,109,-36.815.253,404.301.281
110,110,"438921,15","4476262,7",110,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"paseo de Moret,",24,110,-37.201.316,404.347.654
111a,111 a,"439144,16","4476128,65",111 a,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle del Arcipreste de Hita,8",24,111 a,-37.174.896,404.335.742
111b,111 b,"439120,04","4476174,12",111 b,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle del Arcipreste de Hita,12",24,111 b,-37.177.783,40.433.982
112,112,"438517,07","4476028,6",112,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"paseo de Moret,11",24,112,-37.248.727,404.326.267
113,113,"438865,35","4475484,09",113,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"Paseo del Pintor Rosales,38",24,113,-37.207.145,404.277.472
114,114,"439145,29","4475490,01",114,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"calle de Quintana,13",24,114,-37.174.151,404.278.211
115,115,"439181,48","4475218,76",115,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"PLAZA DEL MARQUES DE CERRALBO,,",24,115,-37.169.626,404.253.802
116a,116 a,"439621,73",4475069,116 a,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Plaza de España,",24,116 a,-37.117.588,404.240.632
116b,116 b,"439614,47","4475083,02",116 b,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Plaza de España,",24,116 b,-37.118.457,404.241.889
117,117,"439020,83","4475833,31",117,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Calle de Altamirano, Madrid,24",24,117,-37.189.152,404.309.046
118,118,"441605,64","4472470,47",118,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"CALLE DE JUAN MARTIN EL EMPECINADO,16,16",24,118,-3.688.135,404.007.959
119,119,"441738,36","4472542,79",119,2,Arganzuela,27,Atocha,https://wikidata.org/entityQ3814594,"Calle de Méndez Álvaro, Madrid,7",24,119,-36.865.777,404.014.567
120,120,"441043,78","4472723,55",120,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"CALLE DE PALOS DE LA FRONTERA,27,27",24,120,-36.947.791,404.030.362
121,121,"440718,1","4472592,85",121,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"Paseo de Santa María de la Cabeza,58",24,121,-36.986.046,404.018.356
122,122,"440941,06","4475664,68",122,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Calle de Santa Engracia, Madrid,16",24,122,-36.962.626,40.429.524
123,123,"439482,59","4475800,04",123,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"Calle de Guzmán el Bueno, Madrid,2",24,123,-37.134.685,404.306.386
124,124,"440683,01","4475810,28",124,7,Chamberí,73,Trafalgar,https://wikidata.org/entityQ10384027,"Calle de Manuel Silvela, Madrid,18",24,124,-36.993.182,404.308.173
125,125,"441067,49","4476306,28",125,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Fernández de la Hoz street,29",24,125,-36.948.316,404.353.128
126,126,"440480,69","4476228,15",126,7,Chamberí,73,Trafalgar,https://wikidata.org/entityQ10384027,"Calle del General Álvarez de Castro, Madrid,4",24,126,-37.017.424,404.345.672
127,127,"439915,53","4476159,21",127,7,Chamberí,72,Arapiles,https://wikidata.org/entityQ10856744,"Calle de Fernando el Católico, Madrid,19",24,127,-37.083.987,404.339.055
128,128,"439313,53","4476733,24",128,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle de Cea Bermúdez,59",24,128,-37.155.506,404.390.329
128ampliacion,128 ampliacion,"439301,59","4476734,02",128 ampliacion,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle de Cea Bermúdez,59",3,128 ampliacion,-37.156.915,404.390.391
129,129,"440777,63","4476658,85",129,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de José Abascal, Madrid,33",24,129,-36.982.818,404.384.684
130,130,"440489,99","4477022,03",130,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Santa Engracia, Madrid,129",20,130,-37.017.071,404.417.195
131,131,"440293,7","4477027,45",131,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Bravo Murillo,44",24,131,-3.704.022,404.417.543
132,132,"440334,34","4477541,61",132,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Santa Engracia, Madrid,168",24,132,-37.035.911,404.463.889
133,133,"440637,08","4477625,61",133,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"CALLE DE DULCINEA,3,3",24,133,-37.000.292,404.471.673
134,134,"441017,45","4477274,01",134,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de María de Guzmán, Madrid,58",24,134,-36.955.114,40.444.027
135,135,"441237,54","4476990,04",135,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Square of San Juan de la Cruz,",24,135,-36.928.901,404.414.845
136,136,"441417,02","4477410,33",136,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Paseo de la Castellana,106",24,136,-36.908.127,404.452.833
137,137,"441885,33","4477430,27",137,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Plaza de la República Argentina, Madrid,6",24,137,-36.852.925,404.454.958
138,138,"441352,15","4477455,81",138,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Paseo de la Castellana,108",24,138,-36.915.818,404.456.884
139,139,"441442,67","4476752,13",139,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"CALLE DE JOSE GUTIERREZ ABASCAL,,",24,139,-36.904.495,404.393.558
140,140,"442081,95","4476666,37",140,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"calle de Velázquez,134",24,140,-36.829.045,40.438.628
140ampliación,140 ampliación,"442081,16","4476654,37",140 ampliación,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"calle de Velázquez,134",3,140 ampliación,-36.829.127,404.385.198
141,141,"441537,59","4476315,08",141,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Paseo de la Castellana,43",12,141,-36.892.902,404.354.253
142,142,"441641,97","4476103,45",142,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"Paseo de la Castellana,",24,142,-36.880.402,404.335.262
143,143,"442474,52","4476217,99",143,4,Salamanca,45,Lista,https://wikidata.org/entityQ4779,"Calle de Diego de León, Madrid,54",24,143,-36.782.355,40.434.616
144,144,"442707,74","4475961,24",144,4,Salamanca,45,Lista,https://wikidata.org/entityQ4779,"Calle de Juan Bravo, Madrid,50",24,144,-36.754.628,404.323.192
145,145,"443050,11","4475675,85",145,4,Salamanca,45,Lista,https://wikidata.org/entityQ4779,"Calle de José Ortega y Gasset, Madrid,87",24,145,-3.671.401,404.297.717
146,146,"442435,7","4477286,68",146,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"CALLE DE MARIA FRANCISCA,1,1",18,146,-367.879,404.442.406
147,147,"442372,1","4477741,71",147,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Avenida del Doctor Arce, Madrid,45",24,147,-36.795.811,404.483.353
148,148,"442194,78","4478041,13",148,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Serrano Street,210",24,148,-36.816.993,404.510.203
149,149,"441672,11","4477914,69",149,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Paseo de La Habana, Madrid,42",24,149,-36.878.512,404.498.448
150,150,"441443,38","4477835,19",150,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"Paseo de la Castellana,",24,150,-3.690.541,404.491.125
151,151,"441047,89","4477810,45",151,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"Calle de Orense, Madrid,10",24,151,-36.952.023,404.488.617
152,152,"440733,5","4478240,82",152,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"Avenida del General Perón,4",24,152,-36.989.497,404.527.163
153,153,"441230,1","4478196,25",153,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"Avenida del General Perón,36",24,153,-36.930.894,4.045.235
154,154,"441097,89","4478466,69",154,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"Calle de Orense, Madrid,36",24,154,-36.946.736,404.547.769
155,155,"440575,2","4478749,38",155,6,Tetuán,62,Cuatro Caminos,https://wikidata.org/entityQ5824684,"Calle de San Germán, Madrid,55",24,155,-3.700.864,404.572.863
156,156,"441385,88","4478959,93",156,6,Tetuán,63,Castillejos,https://wikidata.org/entityQ11913212,"Calle de Sor Ángela de la Cruz, Madrid,2",24,156,-36.913.229,404.592.406
157,157,"441554,84","4478963,2",157,5,Chamartín,55,Nueva España,https://wikidata.org/entityQ10338128,"Paseo de la Castellana,",24,157,-36.893.305,40.459.282
158,158,"441946,46","4478886,67",158,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entityQ3814573,"avenida de Alberto Alcocer,22 A",24,158,-36.847.049,4.045.862
159,159,"442024,96","4478401,51",159,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entityQ3814573,"Paseo de La Habana, Madrid,63",24,159,-36.837.348,404.542.549
160,160,"442630,95","4478723,71",160,5,Chamartín,54,Hispanoamérica,https://wikidata.org/entityQ3814573,"CALLE DE COLOMBIA,7,7",24,160,-36.766.176,404.571.995
161,161,"438745,93","4474862,31",161,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"Paseo de la Florida, Madrid,8",24,161,-37.220.624,404.221.372
161ampliacion,161 ampliacion,"438754,04","4474853,3",161 ampliacion,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"Paseo de la Florida, Madrid,6",3,161 ampliacion,-37.219.659,404.220.566
162,162,"439688,47","4472787,76",162,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"PASEO DE LOS OLMOS,28,28",24,162,-37.107.559,404.035.176
163,163,"440055,04","4472797,85",163,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Paseo de la Esperanza, Madrid,",21,163,-37.064.372,404.036.349
164,164,"441063,58","4472068,5",164,2,Arganzuela,25,Las Delicias,https://wikidata.org/entityQ3773736,"Paseo de las Delicias, Madrid,94",24,164,-36.944.851,403.971.366
165,165,"440794,37","4471598,57",165,2,Arganzuela,23,La Chopera,https://wikidata.org/entityQ3773750,"Paseo de la Chopera, Madrid,49",27,165,-36.976.134,403.928.841
166,166,"439478,68","4473946,37",166,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"calle de Segovia,21",24,166,-37.133.382,404.139.396
167,167,"439113,04","4473926,4",167,2,Arganzuela,21,Imperial,https://wikidata.org/entityQ3773740,"calle de Segovia,47 A",24,167,-37.176.456,404.137.331
168,168,"440948,66","4472895,98",168,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"Paseo de Santa María de la Cabeza,32",24,168,-36.959.159,404.045.828
169,169,"439424,51","4472574,58",169,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Calle de Toledo,181",24,169,-3.713.846,40.401.578
170,170,"440225,41","4472515,53",170,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Paseo de la Esperanza, Madrid,21",24,170,-3.704.403,404.011.039
171,171,"440729,75","4472362,64",171,2,Arganzuela,25,Las Delicias,https://wikidata.org/entityQ3773736,"Calle de Embajadores, Madrid,97",24,171,-36.984.459,403.997.626
172,172,"441146,63","4472482,09",172,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"Calle de Bustamante, Madrid,1",24,172,-36.935.448,404.008.683
173,173,"440396,07","4472189,13",173,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Paseo de la Esperanza, Madrid,59",24,173,-37.023.615,403.981.757
174,174,"440054,62","4472107,63",174,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Paseo de las Yeserías, Madrid,8",27,174,-37.063.771,40.397.417
175,175,"440738,79","4471974,72",175,2,Arganzuela,23,La Chopera,https://wikidata.org/entityQ3773750,"CALLE DE JAIME EL CONQUISTADOR,30,30",21,175,-36.983.033,403.962.687
176,176,"441133,61","4471746,54",176,2,Arganzuela,25,Las Delicias,https://wikidata.org/entityQ3773736,"CALLE DE ALICANTE,3,3",24,176,-36.936.302,403.942.411
177,177,"441092,45","4471442,79",177,2,Arganzuela,25,Las Delicias,https://wikidata.org/entityQ3773736,"Calle de Bolívar, Madrid,3",24,177,-3.694.087,403.915.019
178,178,"442391,73","4472711,75",178,3,Retiro,31,Pacífico,https://wikidata.org/entityQ3773753,"CALLE DE LEON GIL DE PALACIO,1,1",24,178,-36.788.939,404.030.242
179,179,"443221,91","4472140,39",179,13,Puente de Vallecas,132,San Diego,https://wikidata.org/entityQ11946851,"Madrid Ring Road,",24,179,-36.690.602,403.979.341
180,180,"442636,16","4471722,03",180,2,Arganzuela,27,Atocha,https://wikidata.org/entityQ3814594,"Retama Street,5",24,180,-36.759.244,403.941.252
181,181,"442595,87","4474391,99",181,3,Retiro,34,Ibiza,https://wikidata.org/entityQ15249910,"Calle de Ibiza, Madrid,18",27,181,-367.664,404.181.748
182,182,"443541,21","4474444,72",182,3,Retiro,33,Estrella,https://wikidata.org/entityQ3773738,"Calle del Alcalde Sáinz de Baranda, Madrid,90",24,182,-36.655.023,404.187.145
183,183,"443212,07","4475215,51",183,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Hermosilla,135",24,183,-36.694.506,404.256.358
184,184,"443563,66","4475253,54",184,4,Salamanca,43,Fuente del Berro,https://wikidata.org/entityQ3814564,"PASEO DEL MARQUES DE ZAFRA,24,24",24,184,-36.653.095,404.260.023
185,185,"443883,24","4475147,45",185,4,Salamanca,43,Fuente del Berro,https://wikidata.org/entityQ3814564,"GLORIETA DEL MARQUES DE ZAFRA,4,4",24,185,-3.661.533,404.250.682
186,186,"442466,16","4475602,3",186,4,Salamanca,45,Lista,https://wikidata.org/entityQ4779,"General Pardiñas Street,56",24,186,-36.782.783,40.429.069
187,187,"443691,7","4475711,36",187,4,Salamanca,43,Fuente del Berro,https://wikidata.org/entityQ3814564,"CALLE DE ALEJANDRO GONZALEZ,1,1",24,187,-36.638.407,404.301.353
188,188,"444111,11","4475822,61",188,15,Ciudad Lineal,151,Ventas,https://wikidata.org/entityQ71762,"Avenida de Daroca, Madrid,2",27,188,-36.589.062,404.311.658
189,189,"444399,55","4476248,37",189,15,Ciudad Lineal,154,Concepción,https://wikidata.org/entityQ11915156,"CALLE DE LA VIRGEN DE LA ALEGRIA,18,18",24,189,-36.555.431,404.350.206
190,190,"442030,24","4476194,79",190,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"calle de Velázquez,91",24,190,-36.834.711,404.343.761
191,191,"442830,66","4476215,36",191,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"CALLE DE ALONSO HEREDIA,1,1",18,191,-36.740.365,404.346.168
192,192,"443049,28","4475907,11",192,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"Avenida de los Toreros, Madrid,3",27,192,-36.714.315,40.431.855
193,193,"443540,74","4475977,26",193,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"Avenida de los Toreros, Madrid,47",24,193,-3.665.644,404.325.204
194,194,"442564,99","4476503,98",194,4,Salamanca,44,La Guindalera,https://wikidata.org/entityQ3814559,"Francisco Silvela Street,86",24,194,-36.771.947,404.371.986
195,195,"442711,2","4476730,39",195,5,Chamartín,52,Prosperidad,https://wikidata.org/entityQ4776,"CALLE DEL PADRE INDALECIO HERNANDEZ,1,1",24,195,-36.754.913,404.392.483
196,196,"442749,2","4477268,2",196,5,Chamartín,53,Ciudad Jardín,https://wikidata.org/entityQ3773744,"Calle de Suero de Quiñones, Madrid,2",24,196,-36.750.918,404.440.957
197,197,"442506,78","4478097,54",197,5,Chamartín,51,Valdepeñas Ciudad Real,https://wikidata.org/entityQ4778,"avenida de Concha Espina,",24,197,-36.780.252,404.515.501
198,198,"441342,11","4476060,39",198,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Glorieta de Rubén Darío, Madrid,2",24,198,-36.915.713,404.331.172
199,199,"439369,52","4476210,1",199,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"Calle de Fernando el Católico, Madrid,61",27,199,-37.148.406,404.343.244
200,200,"440231,49","4476129,61",200,7,Chamberí,72,Arapiles,https://wikidata.org/entityQ10856744,"Glorieta de Quevedo,4",24,200,-3.704.671,404.336.617
201,201,"440308,49","4476691,87",201,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de José Abascal, Madrid,2",24,201,-37.038.161,404.387.323
202,202,"439947,59","4476965,21",202,7,Chamberí,76,Vallehermoso,https://wikidata.org/entityQ6122685,"Calle de Santander, Madrid,",24,202,-37.080.969,404.411.686
203,203,"439411,53","4477034,58",203,7,Chamberí,76,Vallehermoso,https://wikidata.org/entityQ6122685,"CALLE DEL GENERAL AMPUDIA,2,2",24,203,-37.144.239,404.417.547
204,204,"440286,36","4477683,16",204,6,Tetuán,61,Bellas Vistas,https://wikidata.org/entityQ11908929,"CALLE DEL DOCTOR SANTERO,1,1",24,204,-37.041.702,404.476.606
205,205,"440361,85","4478331,04",205,6,Tetuán,61,Bellas Vistas,https://wikidata.org/entityQ11908929,"CALLE DE NAVARRA,1,1",24,205,-37.033.408,404.535.024
206,206,"440732,11","4479138,12",206,6,Tetuán,66,Berruguete,https://wikidata.org/entityQ11909208,"Calle del Marqués de Viana, Madrid,5",24,206,-36.990.499,404.607.994
