PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
Pontevedra,36,Baiona,36003,A_Ribeira,Baiona_(Santa_Maria),150,Playa_resguardada,Fina,42.121834,-8.849305,http://www.turismo.gal/recurso/-/detalle/10522/a-ribeira
Pontevedra,36,Bueu,36004,Area_de_Bon,Bon_de_Arriba_-_Beluso_(Santa_Maria),1000,Playa_abierta,Fina,42.314361,-8.818888,http://www.turismo.gal/ficha-recurso?cod_rec=10464
Pontevedra,36,Bueu,36004,Lagos,Montemogos_-_Beluso_(Santa_Maria),250,Playa_resguardada,Fina,42.324508,-8.825548,http://www.turismo.gal/ficha-recurso?cod_rec=10135
Pontevedra,36,Bueu,36004,Portomaior,Castrelo_-_Cela_(Santa_Maria),750,Playa_abierta,Fina,42.334527,-8.768388,http://www.turismo.gal/ficha-recurso?cod_rec=10132
Pontevedra,36,Bueu,36004,Lamapan,,800,Playa_abierta,Fina,42.341944,-8.7525,http://www.turismo.gal/ficha-recurso?cod_rec=11370
Pontevedra,36,Cangas,36008,Areabrava,Vilanova_-_O_Hio_(Santo_Andre),800,Playa_resguardada,Fina,42.291333,-8.844889,http://www.turismo.gal/ficha-recurso?cod_rec=10478
Pontevedra,36,Cangas,36008,Areamilla,Balea_-_Darbo_(Santa_Maria),150,Playa_resguardada,Fina,42.249916,-8.794333,http://www.turismo.gal/ficha-recurso?cod_rec=10486
Pontevedra,36,Cangas,36008,Limens,Limens,500,Playa_resguardada,Fina,42.259972,-8.814028,http://www.turismo.gal/ficha-recurso?cod_rec=36672
Pontevedra,36,Cangas,36008,Melide,Donon,250,Playa_abierta,Fina,42.251833,-8.866417,http://www.turismo.gal/ficha-recurso?cod_rec=10483
Pontevedra,36,Cangas,36008,Menduina,Menduina_-_Aldan_(San_Cibran),250,Playa_resguardada,Fina,42.295583,-8.820249,http://www.turismo.gal/ficha-recurso?cod_rec=10466
Pontevedra,36,Cangas,36008,Nerga,Nerga_-_O_Hio_(Santo_Andre),1000,Playa_resguardada,Fina,42.258858,-8.840135,http://www.turismo.gal/ficha-recurso?cod_rec=10485
Pontevedra,36,Cangas,36008,Rodeira,Cangas,1100,Playa_resguardada,Fina,42.261778,-8.769694,http://www.turismo.gal/ficha-recurso?cod_rec=10136
Pontevedra,36,A_Guarda,36023,Area_Grande,A_Guarda_(Santa_Maria),300,Playa_resguardada,Fina,41.91025,-8.876166,http://www.turismo.gal/ficha-recurso?cod_rec=10526
