IDDispenserRubbish,IDDistrict,DistrictName,same_as_wikidata_district,IDNeighborhood,NeighborhoodName,Active,InstallDate,Address,Model
516696,11,Carabanchel,https://wikidata.org/entity/Q1001991,111,COMILLAS,OPERATIVO,22/02/2011,PASAJE DEL MONTSERRAT 5A,50_LTS_EX
516698,11,Carabanchel,https://wikidata.org/entity/Q1001991,111,COMILLAS,OPERATIVO,22/02/2011,AVENIDA DEL MANZANARES 172,50_LTS_EX
516907,17,Villaverde,https://wikidata.org/entity/Q919536,173,BUTARQUE,OPERATIVO,23/02/2011,CALLE DEL BARIO 7,50_LTS_EX
517022,20,San Blas,https://wikidata.org/entity/Q2001937,205,ROSAS,OPERATIVO,23/02/2011,CALLE DE SOFIA 47A,50_LTS_EX
517171,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,23/02/2011,CALLE DE ANA DE AUSTRIA 34C,50_LTS_EX
517200,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,157,COLINA,OPERATIVO,23/02/2011,CALLE DE ARTURO SORIA 220,50_LTS_EX
517283,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,92,ARGUELLES,OPERATIVO,24/02/2011,CALLE DE MARTIN DE LOS HEROS 30,50_LTS_EX
517621,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,83,PENA GRANDE,OPERATIVO,24/02/2011,CALLE DE LAS ISLAS BAHAMAS 25,50_LTS_EX
517782,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,95,VALDEMARIN,OPERATIVO,25/02/2011,CALLE DE LA CABELLERA DE BERENICE 8D,50_LTS_EX
517813,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,84,EL PILAR,OPERATIVO,25/02/2011,CALLE DE CHANTADA 2,50_LTS_EX
517867,7,Chamberí,https://wikidata.org/entity/Q1763370,71,GAZTAMBIDE,OPERATIVO,25/02/2011,CALLE DE RODRIGUEZ SAN PEDRO 72,50_LTS_EX
517940,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,25/02/2011,CALLE DE LA LONJA DE LA SEDA 33,50_LTS_EX
517949,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,85,LA PAZ,OPERATIVO,25/02/2011,CALLE DE ANTONIO LOPEZ AGUADO 14,50_LTS_EX
518026,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,86,VALVERDE,OPERATIVO,26/02/2011,CALLE DE MARCOS DE ORUETA 7,50_LTS_EX
518055,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,86,VALVERDE,OPERATIVO,26/02/2011,AVENIDA DEL CARDENAL HERRERA ORIA 4,50_LTS_EX
518106,11,Carabanchel,https://wikidata.org/entity/Q1001991,115,PUERTA BONITA,OPERATIVO,28/02/2011,CALLE DE ALISEDA 5,50_LTS_EX
518185,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,86,VALVERDE,OPERATIVO,28/02/2011,CALLE DE CASTIELLO DE JACA 37,50_LTS_EX
518280,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,87,MIRASIERRA,OPERATIVO,28/02/2011,CALLE DEL VALLE DE LACIANA 9,50_LTS_EX
518474,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,87,MIRASIERRA,OPERATIVO,03/03/2011,AVENIDA DEL VENTISQUERO DE LA CONDESA 46,50_LTS_EX
518864,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,154,CONCEPCION,OPERATIVO,23/03/2011,PLAZA DE LA VIRGEN DEL ROMERO 5,50_LTS_EX
521703,4,Salamanca,https://wikidata.org/entity/Q1773521,46,CASTELLANA,OPERATIVO,13/09/2011,CALLE DEL GENERAL ORAA 41,50_LTS_EX
525447,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,86,VALVERDE,OPERATIVO,25/06/2013,CALLE DE MANRESA 80,50_LTS_EX
526784,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,27/03/2015,CALLE DE JOSEFINA ALDECOA,50_LTS_EX
526868,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,13/04/2015,AVENIDA DE FRANCISCO JAVIER SAENZ DE OIZA,50_LTS_EX
473325,10,Latina,https://wikidata.org/entity/Q794954,101,LOS CARMENES,OPERATIVO,08/06/2010,CALLE DEL CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 1,50_LTS_EX
464196,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,135,PORTAZGO,OPERATIVO,21/05/2010,CALLE DE CARLOS SOLE 52,50_LTS_EX
465756,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,25/05/2010,AVENIDA DE MARUJA MALLO 7,50_LTS_EX
