ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,DISTRITO_2,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
133,2021S000099,2021-02-01T11:25:00Z,AVDA. CONCHA ESPINA / CALL. SERRANO,0,Chamartín,https://wikidata.org/entity/Q1766348,Colisión fronto-lateral,Pasajero,MAYOR DE 74 AÑOS,Mujer,7
134,2021S000762,2021-02-01T01:25:00Z,AVDA. VICTORIA / AUTOV. A-6,0,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Choque contra obstáculo fijo,Conductor,DE 21 A 24 AÑOS,Hombre,0
135,2021S000029,2021-02-01T00:40:00Z,CALL. GOYA / CASTELLANA,0,Salamanca,https://wikidata.org/entity/Q1773521,Colisión fronto-lateral,Conductor,DE 60 A 64 AÑOS,Hombre,0
136,2021S000029,2021-02-01T00:40:00Z,CALL. GOYA / CASTELLANA,0,Salamanca,https://wikidata.org/entity/Q1773521,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
137,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Conductor,DE 60 A 64 AÑOS,Hombre,0
138,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Conductor,DE 18 A 20 AÑOS,Hombre,0
139,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Pasajero,DE 18 A 20 AÑOS,Hombre,0
140,2021S000123,2021-03-01T22:35:00Z,CALL. SILVANO / CALL. JOSE RIZAL,0,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión fronto-lateral,Pasajero,DE 18 A 20 AÑOS,Hombre,0
141,2021S000261,2021-03-01T22:25:00Z,AVDA. OROVILLA / CALL. UNANIMIDAD,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,7
142,2021S000261,2021-03-01T22:25:00Z,AVDA. OROVILLA / CALL. UNANIMIDAD,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Hombre,7
143,2021S000122,2021-03-01T21:50:00Z,AUTOV. M-30 / AVDA. ALBUFERA,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Atropello a persona,Conductor,DE 21 A 24 AÑOS,Hombre,2
144,2021S000122,2021-03-01T21:50:00Z,AUTOV. M-30 / AVDA. ALBUFERA,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Atropello a persona,Peatón,DE 60 A 64 AÑOS,Hombre,2
145,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
146,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 35 A 39 AÑOS,Hombre,0
147,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Pasajero,DE 30 A 34 AÑOS,Mujer,0
148,2021S000232,2021-03-01T20:48:00Z,AVDA. ANDALUCIA / AUTOV. M-40,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
149,2021S000119,2021-03-01T20:40:00Z,CUSTA. SAN VICENTE / PASEO. REY,0,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Conductor,DE 30 A 34 AÑOS,Hombre,0
