ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,DISTRITO_2,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
79,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,14
80,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión múltiple,Conductor,DE 40 A 44 AÑOS,Hombre,7
81,2021S000110,2021-02-01T20:58:00Z,AVDA. ENSANCHE DE VALLECAS,12,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Conductor,DE 30 A 34 AÑOS,Hombre,14
82,2021S000110,2021-02-01T20:58:00Z,AVDA. ENSANCHE DE VALLECAS,12,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,7
83,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión múltiple,Conductor,DE 55 A 59 AÑOS,Hombre,0
84,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión múltiple,Pasajero,DE 50 A 54 AÑOS,Hombre,0
85,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
86,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
87,2021S000061,2021-02-01T20:40:00Z,CALL. ANGEL LUIS DE LA HERRAN,35,Hortaleza,https://wikidata.org/entity/Q1928529,Colisión múltiple,Conductor,DESCONOCIDA,Desconocido,0
88,2021S000107,2021-02-01T19:30:00Z,AVDA. PABLO IGLESIAS,17,Chamberí,https://wikidata.org/entity/Q1763370,Caída,Conductor,DE 35 A 39 AÑOS,Hombre,6
