Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
49,Pueblo Nuevo,https://wikidata.org/entity/Q384453,Calle,de,Alcala,N,372,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445588,4476519
50,Guzman el Bueno,https://wikidata.org/entity/Q2482402,Calle,de,Guzman el Bueno,N,118,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,439706,4477752
51,Pacifico,https://wikidata.org/entity/Q2479769,Avda,de la,Ciudad de Barcelona,N,79,28007,3,Retiro,https://wikidata.org/entity/Q2002296,442819,4472721
52,Gran Via,https://wikidata.org/entity/Q2729745,Calle,,Gran Via,N,23,28013,1,Centro,https://wikidata.org/entity/Q1763376,440572,4474817
53,Sierra de Guadalupe,https://wikidata.org/entity/Q2479478,Avda,de la,Democracia,N,1,28031,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,447082,4470570
54,Fuencarral,https://wikidata.org/entity/Q2059161,Calle,de la,Fuente Chica,N,21,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,441399,4483147
55,Valdeacederas,https://wikidata.org/entity/Q2055837,Calle,de,Bravo Murillo,N,332,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,441183,4479745
56,Pan Bendito,https://wikidata.org/entity/Q2482414,Avda,de,Abrantes,N,289,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,437786,4469942
57,Parque Lisboa,https://wikidata.org/entity/Q510707,Calle,de,Porto Lagos,N,7,28924,2,Arganzuela,https://wikidata.org/entity/Q2000929,430371,4467101
58,Laguna,https://wikidata.org/entity/Q2482135,Calle,de,Cuart de Poblet,N,1,28047,10,Latina,https://wikidata.org/entity/Q794954,436948,4472543
59,Parque de los Estados,https://wikidata.org/entity/Q2484454,Calle,de,Venezuela,N,2,28945,2,Arganzuela,https://wikidata.org/entity/Q2000929,433215,4460099
60,Juan de la Cierva,https://wikidata.org/entity/Q592352,Avda,de,Espana,N,20,28903,4,Salamanca,https://wikidata.org/entity/Q1773521,438740,4462823
61,El Carrascal,https://wikidata.org/entity/Q2485042,Avda,,Rey Juan Carlos I,N,85,28916,5,Chamartin,https://wikidata.org/entity/Q1766348,437239,4465592
62,Casa del Reloj,https://wikidata.org/entity/Q2486887,Avda,,Gibraltar,N,11,28914,2,Arganzuela,https://wikidata.org/entity/Q2000929,435595,4464492
63,El Capricho,https://wikidata.org/entity/Q2056510,Calle,de,Pinos de Osuna,N,15,28042,21,Barajas,https://wikidata.org/entity/Q807230,449742,4478467
64,Villa de Vallecas,https://wikidata.org/entity/Q630441,Paseo,de,Federico Garcia Lorca,N,2,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447370,4470283
65,Valdebernardo,https://wikidata.org/entity/Q2696095,Bulv,de,Indalecio Prieto,N,26,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,447364,4472553
66,Colombia,https://wikidata.org/entity/Q2462831,Calle,del,Principe de Vergara,N,269,28016,5,Chamartin,https://wikidata.org/entity/Q1766348,442713,4478964
67,Las Musas,https://wikidata.org/entity/Q2482052,Avda,de,Niza,N,61,28022,20,San Blas,https://wikidata.org/entity/Q2001937,448550,4476201
68,Diego de Leon,https://wikidata.org/entity/Q2055658,Calle,de,Francisco Silvela,N,47,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443032,4476237
69,Nunez de Balboa,https://wikidata.org/entity/Q782924,Plaza,del,Marques de Salamanca,N,9,28006,4,Salamanca,https://wikidata.org/entity/Q1773521,442484,4475928
70,Ventas,https://wikidata.org/entity/Q2014690,Calle,de,Alcala,N,204,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443822,4476002
71,Plaza de Castilla,https://wikidata.org/entity/Q2463399,Paseo,de la,Castellana,N,216,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441692,4480016
72,Puerta de Arganda,https://wikidata.org/entity/Q2059170,Calle,de,San Cipriano,N,85,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,449536,4472679
