EXPEDIENTE,DATETIME,CALLE,CALLEWIKIDATA,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S001370,2021-02-02T09:05:00ZZ,Paseo_de_la_Ermita_del_Santo,https://wikidata.org/entity/Q28137105,68,Carabanchel,Caída,Nublado,Bicicleta,10030,Conductor,De 25 a 29 años,Hombre,2
2021S001423,2021-01-31T09:00:00ZZ,CALLE_VILLAMANIN,,35,Latina,Colisión fronto-lateral,,Bicicleta,10031,Conductor,De 55 a 59 años,Hombre,
2021S001449,2021-01-31T15:55:00ZZ,Avenida_de_Monforte_de_Lemos_Madrid,https://wikidata.org/entity/Q52683954,32,Fuencarral-El_Pardo,Alcance,Despejado,Bicicleta,10032,Conductor,De 35 a 39 años,Hombre,7
2021S001532,2021-03-02T18:43:00ZZ,CALLE_PLANETA_TIERRA,,6,Arganzuela,Choque contra obstáculo fijo,Lluvia débil,Bicicleta,10033,Conductor,De 55 a 59 años,Hombre,7
2021S001645,2021-06-02T14:45:00ZZ,Serrano_Street,https://wikidata.org/entity/Q5740879,45,Salamanca,Caída,Despejado,Bicicleta,10034,Conductor,De 18 a 20 años,Mujer,5
2021S001691,2021-07-02T11:05:00ZZ,CALLE_DIAMANTE,,1,Villaverde,Colisión fronto-lateral,Despejado,Bicicleta,10035,Conductor,De 40 a 44 años,Hombre,1
2021S001696,2021-07-02T12:10:00ZZ,GLORIETA_CARLOS_LLAMAS,,0,San_Blas,Colisión fronto-lateral,Despejado,Bicicleta,10036,Conductor,De 40 a 44 años,Hombre,2
2021S001696,2021-07-02T12:10:00ZZ,GLORIETA_CARLOS_LLAMAS,,0,San_Blas,Colisión fronto-lateral,Despejado,Bicicleta,10037,Conductor,De 60 a 64 años,Hombre,14
2021S001709,2021-07-02T15:00:00ZZ,AVENIDA_LUIS_ARAGONES,,4,San_Blas,Caída,Despejado,Bicicleta,10038,Conductor,De 10 a 14 años,Hombre,7
2021S001742,2021-07-02T10:51:00ZZ,AVENIDA_FRANCISCO_JAVIER_SAENZ_DE_OIZA,,4,Hortaleza,Colisión lateral,Despejado,Bicicleta,10039,Conductor,De 25 a 29 años,Hombre,7
2021S001804,2021-08-02T10:50:00ZZ,Avenida_de_la_Memoria,https://wikidata.org/entity/Q29794262,2,Moncloa-Aravaca,Caída,Lluvia débil,Bicicleta,10040,Conductor,De 25 a 29 años,Mujer,2
2021S001868,2021-10-02T15:45:00ZZ,AVENIDA_LOS_ROSALES,,131,Villaverde,Alcance,Despejado,Bicicleta,10041,Conductor,De 55 a 59 años,Hombre,
2021S001909,2021-06-02T12:42:00ZZ,GLORIETA_ANTONIO_BONET,,0,Hortaleza,Colisión fronto-lateral,Despejado,Bicicleta,10042,Conductor,De 55 a 59 años,Hombre,1
2021S001947,2021-11-02T20:30:00ZZ,Calle_del_General_Ricardos_Madrid,https://wikidata.org/entity/Q5740542,95,Carabanchel,Caída,Lluvia débil,Bicicleta,10043,Conductor,De 25 a 29 años,Mujer,7
2021S001998,2021-12-02T20:30:00ZZ,Paseo_de_la_Castellana,https://wikidata.org/entity/Q1473674,67,Chamberi,Colisión fronto-lateral,Despejado,Bicicleta,10044,Conductor,De 25 a 29 años,Mujer,6
