id_terraza,id_local,id_distrito,Distrito,Barrio,TipoVia,NombreCalle,Portal,Rotulo,Mesas,Sillas
114,170000009,17,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,78,JOSE,7,28
115,270488062,17,VILLAVERDE,SAN ANDRES,CALLE,ANTIMONIO,2,CAFE SAXO,24,96
116,170000013,17,VILLAVERDE,SAN CRISTOBAL,CALLE,ROCAFORT,22,CERVECERIA SAN CRISTOBAL,6,24
117,270182385,17,VILLAVERDE,LOS ROSALES,CALLE,SAHARA,48,EL PORTON,21,84
119,270418033,17,VILLAVERDE,LOS ROSALES,PLAZA,CHOZAS DE CANALES,6,PLAZA II,18,63
120,270033353,17,VILLAVERDE,SAN CRISTOBAL,CALLE,ROCAFORT,9,BAR PIRATA,21,84
121,20000100,2,ARGANZUELA,CHOPERA,PASEO,DELICIAS,132,CERVECERIA LA LASTRA,6,16
122,20000172,2,ARGANZUELA,PALOS DE MOGUER,CALLE,ANCORA,28,BAR SORIA,9,36
124,20001101,2,ARGANZUELA,IMPERIAL,PASEO,IMPERIAL,53,CERVECERIA CANTALEJO RESTAURANTE,17,61
125,270267597,2,ARGANZUELA,CHOPERA,CALLE,JAIME EL CONQUISTADOR,11,BAR ORENSE,4,16
126,20001080,2,ARGANZUELA,CHOPERA,CALLE,JAIME EL CONQUISTADOR,15,BAR EL CONQUISTADOR,12,47
127,270055919,2,ARGANZUELA,CHOPERA,CALLE,JAIME EL CONQUISTADOR,29,CAFETERIA LOA,8,26
128,200001508,20,SAN BLAS-CANILLEJAS,SIMANCAS,CALLE,VALDECANILLAS,49,LA SEDE D'ANDRUBEN,14,56
129,270458555,12,USERA,MOSCARDO,CALLE,EUGENIO CAXES,14,EL RINCON DE SIXTO,11,44
130,270524837,12,USERA,MOSCARDO,CALLE,ANTONIO LOPEZ,137,BAR RESTAURANTE,6,22
131,270228855,12,USERA,MOSCARDO,CALLE,MIRASIERRA,39,BAR ALFIL,10,40
132,270157776,12,USERA,PRADOLONGO,CALLE,DOLORES BARRANCO,50,BAR PISCIS,10,22
135,270438751,12,USERA,MOSCARDO,CALLE,ANTONIO LOPEZ,131,LA ALEGRIA,5,20
136,270490968,12,USERA,ALMENDRALES,CALLE,CRISTO DE LA VICTORIA,21,BAR CLEMENTE,7,21
137,270477281,12,USERA,SAN FERMIN,CALLE,SAN FORTUNATO,27,CAFE BAR MARTIN,6,20
