id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,id_coordenadas,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270380946,SALAMANCA,RECOLETOS,89 CALLE ALCALA,89-CALLE-ALCALA,28009,441877.58,4474703.52,441877.58-4474703.52,Abierto,EL ARBOL Y LA TOSTA,Anual,Abierta,"5,04","5,04",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,3,3
280060978,VILLA-DE-VALLECAS,ENSANCHE-DE-VALLECAS,44 AVENIDA ENSANCHE DE VALLECAS,44-AVENIDA-ENSANCHE-DE-VALLECAS,28051,448326.52,4468742.41,448326.52-4468742.41,Abierto,RESTAURANTE 40 & CUATRO,Anual,Abierta,"97,2","97,2",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,30,30
270202022,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,25 CALLE SIERRA GORDA,25-CALLE-SIERRA-GORDA,28031,447532.53,4470237.43,447532.53-4470237.43,Abierto,BAR-RESTAURANTE,Anual,Abierta,"104,6","60,6",Calle peatonal,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,30,16
170001120,VILLAVERDE,BUTARQUE,11 CALLE BERROCAL,11-CALLE-BERROCAL,28021,442611.52,4466074.49,442611.52-4466074.49,Abierto,CERVECERIA MINERVA,Anual,Abierta,"28,8","28,8",Acera,8:00:00,1:30:00,8:00:00,0:00:00,8:00:00,1:30:00,8:00:00,0:00:00,8,8
170000836,VILLAVERDE,LOS-ROSALES,1 PLAZA CHOZAS DE CANALES,1-PLAZA-CHOZAS-DE-CANALES,28021,441337.53,4467033.5,441337.53-4467033.5,Abierto,BAR DONDE SIEMPRE,Anual,Abierta,"64,12","64,12",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
270228707,VILLAVERDE,SAN-ANDRES,20 PASEO ALBERTO PALACIOS,20-PASEO-ALBERTO-PALACIOS,28021,439581.54,4466421.52,439581.54-4466421.52,Abierto,BURGUER CAROVI,Anual,Abierta,"29,13","29,13",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,10,10
170000967,VILLAVERDE,LOS-ANGELES,44 CALLE LA DEL MANOJO DE ROSAS,44-CALLE-LA-DEL-MANOJO-DE-ROSAS,28041,440773.55,4467749.51,440773.55-4467749.51,Abierto,A GAIVOTIÑA II,Anual,Abierta,"111,3","111,3",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,10
170000259,VILLAVERDE,LOS-ANGELES,2 PASEO TALLERES,2-PASEO-TALLERES,28021,440572.54,4466762.51,440572.54-4466762.51,Abierto,PEÑA DE FRANCIA,Anual,Abierta,"32,4","32,4",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,15
270456160,VILLAVERDE,SAN-ANDRES,48 PASEO TALLERES,48-PASEO-TALLERES,28021,440242.54,4466570.51,440242.54-4466570.51,Abierto,LUCKY,Anual,Abierta,"12,96","7,56",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,3
170002005,VILLAVERDE,LOS-ANGELES,102 CALLE LA DEL MANOJO DE ROSAS,102-CALLE-LA-DEL-MANOJO-DE-ROSAS,28041,440665.54,4467317.51,440665.54-4467317.51,Abierto,EL KUBO,Anual,Abierta,"127,98","32,97",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,8
270181857,VILLAVERDE,SAN-ANDRES,4 PLAZA MAYOR DE VILLAVERDE,4-PLAZA-MAYOR-DE-VILLAVERDE,28021,439928.54,4466553.51,439928.54-4466553.51,Abierto,BAR ASTURIAS,Anual,Abierta,"68,4","68,4",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,22,22
170000257,VILLAVERDE,LOS-ANGELES,11 CALLE PAN Y TOROS,11-CALLE-PAN-Y-TOROS,28041,441020.55,4467961.51,441020.55-4467961.51,Abierto,BAR PEMA,Anual,Abierta,37,37,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,11
270286727,VILLAVERDE,LOS-ANGELES,37 CALLE PAN Y TOROS,37-CALLE-PAN-Y-TOROS,28041,441052.54,4467692.51,441052.54-4467692.51,Abierto,CASA MONICA,Anual,Abierta,"50,04","50,04",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,15
180000366,VILLA-DE-VALLECAS,SANTA-EUGENIA,9 CALLE CASTRILLO DE AZA,9-CALLE-CASTRILLO-DE-AZA,28031,448357.53,4470622.41,448357.53-4470622.41,Abierto,EL JARDIN DEL BACO,Anual,Abierta,"97,56","97,56",Acera,10:00:00,1:00:00,8:00:00,0:00:00,10:00:00,2:30:00,8:00:00,0:00:00,24,24
270324826,VILLA-DE-VALLECAS,SANTA-EUGENIA,10 CALLE PUENTELARRA,10-CALLE-PUENTELARRA,28031,448373.53,4470489.41,448373.53-4470489.41,Abierto,CERVECERIA LA TOMASA,Anual,Abierta,"48,6","48,6",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,15,15
270032503,VILLA-DE-VALLECAS,SANTA-EUGENIA,8 CALLE PUENTELARRA,8-CALLE-PUENTELARRA,28031,448410.53,4470525.41,448410.53-4470525.41,Abierto,BAR  LA HACIENDA,Anual,Abierta,"83,16","58,32",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,24,18
270184841,VILLA-DE-VALLECAS,SANTA-EUGENIA,7 CALLE PUENTELARRA,7-CALLE-PUENTELARRA,28031,448430.53,4470416.41,448430.53-4470416.41,Abierto,CERVECERIA LA TORRE,Estacional,Abierta,27,"58,32",Acera,10:00:00,1:00:00,8:00:00,1:00:00,10:00:00,2:30:00,8:00:00,1:00:00,10,18
270185092,VILLA-DE-VALLECAS,SANTA-EUGENIA,6 CALLE FUENTESPINA,6-CALLE-FUENTESPINA,28031,448569.53,4470101.41,448569.53-4470101.41,Abierto,EL JARDIN DE BACO II,Anual,Abierta,"44,38","44,38",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,17,17
170000673,VILLAVERDE,SAN-ANDRES,15 PASEO ALBERTO PALACIOS,15-PASEO-ALBERTO-PALACIOS,28021,439620.54,4466399.52,439620.54-4466399.52,Abierto,D`YISA NAILS,Estacional,Abierta,"25,92","25,92",Calle peatonal,8:00:00,1:30:00,10:00:00,0:00:00,8:00:00,1:30:00,10:00:00,0:00:00,8,8
270456985,VILLAVERDE,SAN-ANDRES,83 PASEO ALBERTO PALACIOS,83-PASEO-ALBERTO-PALACIOS,28021,439062.54,4466077.52,439062.54-4466077.52,Abierto,LAS BEGONIAS,Anual,Abierta,"99,12","45,75",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,25,12
170000832,VILLAVERDE,LOS-ANGELES,50 CALLE ARECHAVALETA,50-CALLE-ARECHAVALETA,28041,440871.54,4467123.51,440871.54-4467123.51,Abierto,BAR CASA CONEL,Anual,Abierta,"37,08","37,08",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,4,4
170001203,VILLAVERDE,BUTARQUE,4 CALLE CANCHAL,4-CALLE-CANCHAL,28021,442609.52,4466445.49,442609.52-4466445.49,Abierto,PASTELERIA PANADERIA CAFETERIA CHICO,Anual,Abierta,30,30,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,10,0
170000724,VILLAVERDE,SAN-ANDRES,39 PASEO ALBERTO PALACIOS,39-PASEO-ALBERTO-PALACIOS,28021,439441.54,4466238.52,439441.54-4466238.52,Abierto,BAR LAS NIÑAS,Anual,Abierta,"10,08","10,08",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,7,7
270181482,VILLAVERDE,SAN-ANDRES,12 CALLE GRAFITO,12-CALLE-GRAFITO,28021,439235.54,4466441.52,439235.54-4466441.52,Abierto,BAR MEZQUITA,Anual,Abierta,"31,86","31,86",Zona de estacionamiento,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,3
170000308,VILLAVERDE,SAN-ANDRES,45 CALLE ALCOCER,45-CALLE-ALCOCER,28021,440117.54,4466833.51,440117.54-4466833.51,Abierto,BAR RENATO,Anual,Abierta,"98,81","98,81",Bulevar,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,22,22
270020492,VILLAVERDE,SAN-CRISTOBAL,95 CALLE BENIMAMET,95-CALLE-BENIMAMET,28021,441813.52,4466134.5,441813.52-4466134.5,Abierto,PEREZ CAFETERIA,Anual,Abierta,"19,44","10,8",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,6,6
270539656,VILLAVERDE,BUTARQUE,3 CALLE BERROCAL,3-CALLE-BERROCAL,28021,442506.52,4466515.49,442506.52-4466515.49,Abierto,100 MONTADITOS,Anual,Abierta,"72,5","72,5",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
270183511,VILLAVERDE,LOS-ANGELES,1 CALLE HERMANDAD DE DONANTES DE SANGRE,1-CALLE-HERMANDAD-DE-DONANTES-DE-SANGRE,28041,440611.54,4467373.51,440611.54-4467373.51,Abierto,RESTAURANTE GALLARDO,Anual,Abierta,"51,84","51,84",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,16
170000123,VILLAVERDE,LOS-ANGELES,2 CALLE LA CANCION DEL OLVIDO,2-CALLE-LA-CANCION-DEL-OLVIDO,28041,440699.55,4468091.51,440699.55-4468091.51,Abierto,ALQUEZAR LA BODEGA DE COTE,Anual,Abierta,72,72,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,20,20
270314735,VILLAVERDE,BUTARQUE,94 AVENIDA LOS ROSALES,94-AVENIDA-LOS-ROSALES,28021,442293.53,4467170.49,442293.53-4467170.49,Abierto,RESTAURANTE SALINAS PROSPERIDAD III,Anual,Abierta,"90,57","90,57",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,14,8
170000009,VILLAVERDE,LOS-ANGELES,78 CALLE LA DEL MANOJO DE ROSAS,78-CALLE-LA-DEL-MANOJO-DE-ROSAS,28041,440729.54,4467406.51,440729.54-4467406.51,Abierto,JOSE,Anual,Abierta,27,27,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,7,7
270182385,VILLAVERDE,LOS-ROSALES,48 CALLE SAHARA,48-CALLE-SAHARA,28041,441185.54,4467321.51,441185.54-4467321.51,Abierto,EL PORTON,Anual,Abierta,"99,77","99,77",Otros,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
270418033,VILLAVERDE,LOS-ROSALES,6 PLAZA CHOZAS DE CANALES,6-PLAZA-CHOZAS-DE-CANALES,28021,441338.53,4467062.5,441338.53-4467062.5,Abierto,PLAZA II,Anual,Abierta,"32,4","32,4",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,18,18
270033353,VILLAVERDE,SAN-CRISTOBAL,9 CALLE ROCAFORT,9-CALLE-ROCAFORT,28021,441482.52,4465904.5,441482.52-4465904.5,Abierto,BAR PIRATA,Anual,Abierta,77,77,Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21
