id_local,desc_distrito_local,distritos_wikidata,desc_barrio_local,barrios_wikidata,direccion,id_direccion,Cod_Postal,coordenada_x_local,id_coordenadas,coordenada_y_local,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra,Latitud,Coordenadas finales,Longitud
170001120,Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,11 CALLE BERROCAL,11_CALLE_BERROCAL,28021,"442611,52","442611,52-4466074,49","4466074,49",Abierto,CERVECERIA MINERVA,Anual,Abierta,"28,8","28,8",Acera,8:00:00,1:30:00,8:00:00,0:00:00,8:00:00,1:30:00,8:00:00,0:00:00,8,8,40.3436184,"40.3436184,-3.6758241",-3.6758241
170000836,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,1 PLAZA CHOZAS DE CANALES,1_PLAZA_CHOZAS_DE_CANALES,28021,"441337,53","441337,53-4467033,5","4467033,5",Abierto,BAR DONDE SIEMPRE,Anual,Abierta,"64,12","64,12",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,21,21,40.3520375,"40.3520375,-3.6905203",-3.6905203
270228707,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,20 PASEO ALBERTO PALACIOS,20_PASEO_ALBERTO_PALACIOS,28021,"439581,54","439581,54-4466421,52","4466421,52",Abierto,BURGUER CAROVI,Anual,Abierta,"29,13","29,13",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,10,10,40.3461983,"40.3461983,-3.7114039",-3.7114039
170000967,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,44 CALLE LA DEL MANOJO DE ROSAS,44_CALLE_LA_DEL_MANOJO_DE_ROSAS,28041,"440773,55","440773,55-4467749,51","4467749,51",Abierto,A GAIVOTIÑA II,Anual,Abierta,"111,3","111,3",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,10,40.3587386,"40.3587386,-3.6975531",-3.6975531
170000259,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,2 PASEO TALLERES,2_PASEO_TALLERES,28021,"440572,54","440572,54-4466762,51","4466762,51",Abierto,PEÑA DE FRANCIA,Anual,Abierta,"32,4","32,4",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,15,40.3492818,"40.3492818,-3.6997832",-3.6997832
270456160,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,48 PASEO TALLERES,48_PASEO_TALLERES,28021,"440242,54","440242,54-4466570,51","4466570,51",Abierto,LUCKY,Anual,Abierta,"12,96","7,56",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,8,3,40.3475507,"40.3475507,-3.7036659",-3.7036659
170002005,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,102 CALLE LA DEL MANOJO DE ROSAS,102_CALLE_LA_DEL_MANOJO_DE_ROSAS,28041,"440665,54","440665,54-4467317,51","4467317,51",Abierto,EL KUBO,Anual,Abierta,"127,98","32,97",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,16,8,40.3540462,"40.3540462,-3.6989981",-3.6989981
270181857,Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,4 PLAZA MAYOR DE VILLAVERDE,4_PLAZA_MAYOR_DE_VILLAVERDE,28021,"439928,54","439928,54-4466553,51","4466553,51",Abierto,BAR ASTURIAS,Anual,Abierta,"68,4","68,4",Plaza peatonal,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,22,22,40.3473651,"40.3473651,-3.7072807",-3.7072807
170000257,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,11 CALLE PAN Y TOROS,11_CALLE_PAN_Y_TOROS,28041,"441020,55","441020,55-4467961,51","4467961,51",Abierto,BAR PEMA,Anual,Abierta,37,37,Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,11,11,40.3601023,"40.3601023,-3.6945905",-3.6945905
270286727,Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,37 CALLE PAN Y TOROS,37_CALLE_PAN_Y_TOROS,28041,"441052,54","441052,54-4467692,51","4467692,51",Abierto,CASA MONICA,Anual,Abierta,"50,04","50,04",Acera,8:00:00,1:30:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,15,15,40.3577496,"40.3577496,-3.6942988",-3.6942988
